,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Adventure,Wipe Out-Let's Go!,11fYDBbxgKGVio1i9AkAIB,0,0.306,0.581,0,-11.334,1,0.0383,0.0631,0.911,0.0988,0.895,166.307,224693,4
1,The Jackson 5,I Want You Back,5LxvwujISqiB8vpRYv887S,74,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,176333,4
2,Daryl Hall & John Oates,Maneater,7j74lucZ59vqN67Ipe2ZcY,72,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,273173,4
3,Electric Light Orchestra,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,78,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4
4,Marvin Gaye,Ain't No Mountain High Enough,7tqhbajSfrz2F7E1Z75ASX,79,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991,151667,4
5,Wham!,Wake Me Up Before You Go-Go,0ikz6tENMONtK6qGkOrU3c,77,0.62,0.573,0,-11.893,1,0.0423,0.271,0.0,0.0607,0.897,81.548,231333,4
6,Daryl Hall & John Oates,You Make My Dreams (Come True),4o6BgsqLIBViaGVbx5rbRk,75,0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,4
7,Village People,Y.M.C.A.,4YOJFyjqh8eAcbKFfv88mV,62,0.75,0.785,6,-10.926,1,0.0591,0.0278,0.0,0.0601,0.752,126.361,286667,4
8,Katrina & The Waves,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,76,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,238733,4
9,The Ragamuffins,Si Señor,4GV3PBpmsu6d8jxmNcrW7d,41,0.651,0.736,0,-8.246,1,0.0291,0.0771,0.0,0.102,0.961,127.989,176797,4
10,The Heavy,How You Like Me Now,7D180Q77XAEP7atBLmMTgK,60,0.647,0.71,0,-4.692,1,0.029,0.000973,0.703,0.0777,0.268,110.059,217493,4
11,Dr. Dre,Fuck Wit Dre Day (And Everybody's Celebratin'),04fX3oTJm5Zucg3Uf9aix0,41,0.75,0.706,7,-7.461,1,0.156,0.088,0.0,0.535,0.59,93.603,292187,4
12,Blackstreet,No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,75,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,304600,4
13,Cypress Hill,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,72,0.897,0.611,11,-10.489,1,0.211,0.0291,0.186,0.0894,0.769,102.304,208267,4
14,The Notorious B.I.G.,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,78,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,4
15,Yusuf / Cat Stevens,Father And Son,476V2d6iA2tWXgQboKmTtA,71,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,221120,4
16,Electric Guest,This Head I Hold,1tzPSule9WZ9B8SujHv8fp,53,0.663,0.873,0,-4.915,1,0.0328,0.0268,0.0108,0.261,0.962,162.024,175773,4
17,Kurt Vile,Never Run Away,7q3qS13rdkJIgx3OClBnNK,33,0.573,0.784,3,-5.927,1,0.0437,0.176,0.0,0.11,0.328,107.723,204680,4
18,The White Stripes,Seven Nation Army,3dPQuX8Gs42Y7b454ybpMR,81,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,232107,4
19,Billy Joel,Piano Man,70C4NyhjD5OZUMzvWZ3njJ,74,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,339000,3
20,Billy Joel,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,76,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,197707,4
21,Don McLean,American Pie,2QgWuCtBpNIpl5trmKCxRf,66,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318,515867,4
22,Billy Joel,Only the Good Die Young,1xOXXYh6lTW8laxlW7JP2J,66,0.579,0.872,0,-6.126,1,0.159,0.159,0.0,0.0935,0.761,76.214,235560,4
23,Dolly Parton,Jolene,2SpEHTbUuebeLkgs9QB7Ue,71,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,161533,4
24,Elton John,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,76,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,275440,4
25,Gladys Knight & The Pips,Midnight Train to Georgia,7MF7QAodbGzNYav5ZfIhAY,69,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,279333,4
26,The Buggles,Video Killed The Radio Star - Single Version,7nm8w9dMwTjlWDosdnxBSn,60,0.742,0.788,1,-10.803,1,0.0669,0.0862,0.00768,0.292,0.514,130.849,197907,4
