artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Gorgon City,Oxygen - Terrace Dub,2Ij6YmwBU1mMNBJDJuHqyU,44,0.688,0.648,1,-10.1,1,0.0429,0.00216,0.123,0.106,0.0548,124.02,249677,4
Hoodboi,True Colors,04FJtRhH1VIR1jMPHRRKh3,34,0.84,0.593,10,-8.976,0,0.137,0.641,0.708,0.328,0.169,110.013,236182,4
Farruko,Pepas,5fwSHlTEWpluwOM0Sxnh5k,88,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98E-05,0.128,0.442,130.001,287120,4
EVAN GIIA,WESTWORLD,6ZP2iPx7t4epRBAKWvRPt1,60,0.712,0.665,11,-6.128,1,0.0514,0.206,2.70E-05,0.137,0.274,112.017,209224,4
Young Thug,Livin It Up (with Post Malone & A$AP Rocky),7zjEyeBsaw9gV0jofJLfOM,75,0.767,0.313,7,-12.059,1,0.0798,0.838,0,0.105,0.765,82.582,210907,4
Bakermat,Baianá,780be5fB7823aHG06mwTat,67,0.587,0.722,2,-6.983,0,0.0709,0.000754,0.668,0.543,0.466,121.964,180843,4
Joe Nichols,Tequila Makes Her Clothes Fall Off,6IC6VhpV7D8T1t037Atqpu,69,0.664,0.706,2,-7.045,1,0.027,0.129,1.06E-06,0.0857,0.681,93.968,187053,4
Alle Farben,Little Hollywood,3tKZrYDtkte1E68aNozR75,54,0.756,0.713,7,-6.012,1,0.0376,0.462,0.000477,0.0487,0.674,121.998,183253,4
Flume,Never Be Like You (feat. Kai),5WI2ltQIdwgzf1SNE76JyR,66,0.444,0.557,0,-5.476,1,0.0602,0.453,0,0.152,0.296,115.058,234910,4
Louis The Child,Weekend,1VCHNbal0VtE2plMRzvoho,57,0.684,0.774,7,-5.951,1,0.188,0.26,0,0.108,0.448,84.991,175059,4
Louis The Child,Euphoria,6xor4eXPs5g2I3IouvDGD7,32,0.672,0.415,2,-6.92,1,0.0397,0.00226,0.0618,0.365,0.156,125.005,206666,4
Black Eyed Peas,Just Can’t Get Enough,3JA9Jsuxr4xgHXEawAdCp4,75,0.659,0.628,0,-8.685,0,0.179,0.186,0,0.105,0.262,94.05,219427,4
Los Ángeles Azules,Nunca Es Suficiente,63USmok1OioBzKuWGW9wAg,66,0.789,0.518,2,-5.417,0,0.0406,0.398,0,0.0891,0.78,94.001,266213,4
Dombresky,Simple Hit,0C3QADQBYFjcSeU8bY7Oex,53,0.631,0.951,5,-6.203,1,0.0439,0.108,0.836,0.173,0.703,124.007,219715,4
Taylor Swift,State Of Grace (Acoustic Version) (Taylor's Version),5jAIouBES8LWMiriuNq170,62,0.445,0.131,7,-13.778,1,0.0564,0.663,1.57E-06,0.108,0.101,208.918,321640,3
FISHER,Just Feels Tight,2cegJfpyiaWXclqj5HRsZG,59,0.808,0.994,1,-6.326,1,0.071,0.00153,0.874,0.0686,0.719,127.004,197978,4
Nora En Pure,Heart Beating,1WvOvrsD1ntQq1khvNe3lK,48,0.73,0.812,7,-5.183,0,0.0889,0.117,3.02E-05,0.147,0.503,125.13,163320,4
ayokay,All Mine,0oavKVzOfnM4alih0LmLzg,44,0.729,0.693,7,-8.674,1,0.0417,0.0156,0.228,0.111,0.438,119.026,172840,4
Travis Scott,ESCAPE PLAN,4R67rQNSbbsR4TdUVOIdez,74,0.839,0.506,5,-6.714,0,0.133,0.00207,0,0.13,0.44,154.12,149610,4
